English,French,Ewondo - AGLC,Prefixe nominal,Word: mot,Prefixe,Stem: radical de base,Suffixe,Nominal class,Gender,Part of speech,Notes
dental,dental,sǒǹ (a-/mə-),a-/më-,son,,son,ø,cl5/cl6,Gender-3,nom,
wolf's tooth,dent-de-loup,bomé (m̀-/mi-),m-/mi-,bom-e,,bom-,e,cl3/cl4,Gender-2,nom,
toothed,denté,sǒǹ (mə-/mə-),më-/më-,son,,son,ø,cl6/cl6,Gender-5,nom,
serrated,dentée,kogó (a-/mə-),a-/më-,kog-o,,kog-,o,cl5/cl6,Gender-3,nom,
toothed,dentelé,zaǹ (a-/mə-),a-/më-,zan,,zan,ø,cl5/cl6,Gender-3,nom,
lace,dentelle,lís (ø-/ø-),ø-/ø-,lis,,lis,ø,cl9/cl10,Gender-5,nom,
home page,accueil,bəlan (e-/bi-),e-/bi-,bël-an,,bël-,an,cl7/cl8,Gender-4,nom,
uprooting,déplantage,lag (ǹ-/mi-),n-/mi-,lag,,lag,ø,cl3/cl4,Gender-2,nom,
uproot,déplantation,vui (o-/a-),o-/a-,vui,,vui,ø,cl11/cl5,Gender-8,nom,
destacking,dépiquage,tyé (e-/bi-),e-/bi-,tye,,tye,ø,cl7/cl8,Gender-4,nom,
tedder,déplantoir,tyêga (e-/bi-),e-/bi-,tyeg-a,,tyeg-,a,cl7/cl8,Gender-4,nom,
depletion,déplétion,sə̌g (e-/bi-),e-/bi-,sëg,,sëg,ø,cl7/cl8,Gender-4,nom,
unfolding,dépliage,kúluga (e-/bi-),e-/bi-,kul-ug-a,,kul-,ug-a,cl7/cl8,Gender-4,nom,
unbend,dépliement,kúlán (ǹ-/mi-),n-/mi-,kul-an,,kul-,an,cl3/cl4,Gender-2,nom,
deployment,déploiement,tǎn (ǹ-/mi-),n-/mi-,tan,,tan,ø,cl3/cl4,Gender-2,nom,
notch,échancrure,yáán (ǹ-/mi-),n-/mi-,ya-an,,ya-,an,cl3/cl4,Gender-2,nom,
flyer,dépliant,bəgəlé (a-/mə-),a-/më-,bëg-ël-e,,bëg-,ël-e,cl5/cl6,Gender-3,nom,
introduction,instauration,kúluga (e-/bi-),e-/bi-,kul-ug-a,,kul-,ug-a,cl7/cl8,Gender-4,nom,
unfolded,déplié,kúlán (ǹ-/mi-),n-/mi-,kul-an,,kul-,an,cl3/cl4,Gender-2,nom,
rool-out,déploiement,ləde (e-/bi-),e-/bi-,lëd-e,,lëd-,e,cl7/cl8,Gender-4,nom,
display,étalage,damán (ǹ-/mi-),n-/mi-,dam-an,,dam-,an,cl3/cl4,Gender-2,nom,
deposition,déposition,boǹ (e-/bi-),e-/bi-,bon,,bon,ø,cl7/cl8,Gender-4,nom,
depository,dépositaire,baala (m̀-/bə-),m-/bë-,baal-a,,baal-,a,cl1/cl2,Gender-1,nom,
display,présentoir,sám (ǹ-/mi-),n-/mi-,sam,,sam,ø,cl3/cl4,Gender-2,nom,
display,étalage,tǎn (ǹ-/mi-),n-/mi-,tan,,tan,ø,cl3/cl4,Gender-2,nom,
showcase,vitrine,ta (ǹ-/mi-),n-/mi-,ta,,ta,ø,cl3/cl4,Gender-2,nom,
exhibition,exposition,vanda (a-/mə-),a-/më-,vand-a,,vand-,a,cl5/cl6,Gender-3,nom,
exhibition,exhibition,kúli (e-/bi-),e-/bi-,kul-i,,kul-,i,cl7/cl8,Gender-4,nom,
unwinding,déroulement,sas (e-/bi-),e-/bi-,sas,,sas,ø,cl7/cl8,Gender-4,nom,
deportment,déportement,sog (e-/bi-),e-/bi-,sog,,sog,ø,cl7/cl8,Gender-4,nom,
deplorable,déplorable,bé (a-/mə-),a-/më-,be,,be,ø,cl5/cl6,Gender-3,nom,
lamentable,lamentable,dzaa (e-/bi-),e-/bi-,dza-a,,dza-,a,cl7/cl8,Gender-4,nom,
regrettable,regrettable,kib (ǹ-/mi-),n-/mi-,kib,,kib,ø,cl3/cl4,Gender-2,nom,
blamable,blamable,bóndá (ø-/ø-),ø-/ø-,bond-a,,bond-,a,cl9/cl10,Gender-5,nom,
scandalous,scandaleux,mvənde (ø-/ø-),ø-/ø-,mvënd-e,,mvënd-,e,cl9/cl10,Gender-5,nom,
detestable,detestable,síngí (a-/mə-),a-/më-,sing-i,,sing-,i,cl5/cl6,Gender-3,nom,
appalling,effroyable,wɔb (a-/mə-),a-/më-,wob,,wob,ø,cl5/cl6,Gender-3,nom,
pitiful,piteux,bom (o-/a-),o-/a-,bom,,bom,ø,cl11/cl5,Gender-8,nom,
depollution,dépollution,fubu (e-/bi-),e-/bi-,fub-u,,fub-,u,cl7/cl8,Gender-4,nom,
decontamination,dépollution,bindi (e-/bi-),e-/bi-,bind-i,,bind-,i,cl7/cl8,Gender-4,nom,
depopulation,dépopulation,fun (e-/bi-),e-/bi-,fun,,fun,ø,cl7/cl8,Gender-4,nom,
dispossession,dépossession,lalí (a-/mə-),a-/më-,lal-i,,lal-,i,cl5/cl6,Gender-3,nom,
spoliation,spoliation,bádág (e-/bi-),e-/bi-,bad-ag,,bad-,ag,cl7/cl8,Gender-4,nom,
seizure,saisie,fadi (e-/bi-),e-/bi-,fad-i,,fad-,i,cl7/cl8,Gender-4,nom,
confiscation,confiscation,lali (e-/bi-),e-/bi-,lal-i,,lal-,i,cl7/cl8,Gender-4,nom,
deposit,dépôt,sɔ́í (e-/bi-),e-/bi-,sòi,,sòi,ø,cl7/cl8,Gender-4,nom,
warehouse,entrepôt,tə́le (e-/bi-),e-/bi-,tël-e,,tël-,e,cl7/cl8,Gender-4,nom,
warehouse,magasin,tə̌g (e-/bi-),e-/bi-,tëg,,tëg,ø,cl7/cl8,Gender-4,nom,
storage,rangement,kág (a-/mə-),a-/më-,kag,,kag,ø,cl5/cl6,Gender-3,nom,
depot,dépotoire,kun (a-/mə-),a-/më-,kun,,kun,ø,cl5/cl6,Gender-3,nom,
bankruptcy,dépôt de bilan,lalálá (a-/mə-),a-/më-,lal-al-a,,lal-,al-a,cl5/cl6,Gender-3,nom,
heap,amas,ngǒs (a-/mə-),a-/më-,ngos,,ngos,ø,cl5/cl6,Gender-3,nom,
deposit of a liquid,dépôt d'un liquide,mgbíd (e-/bi-),e-/bi-,mgbid,,mgbid,ø,cl7/cl8,Gender-4,nom,
dumping,dépotage,dzii (e-/bi-),e-/bi-,dzi-i,,dzi-,i,cl7/cl8,Gender-4,nom,
dumping,dépotement,ləǹ (e-/bi-),e-/bi-,lën,,lën,ø,cl7/cl8,Gender-4,nom,
unloading,dépotage,yidi (e-/bi-),e-/bi-,yid-i,,yid-,i,cl7/cl8,Gender-4,nom,
envelope,enveloppe,kiǹili (e-/bi-),e-/bi-,kin-il-i,,kin-,il-i,cl7/cl8,Gender-4,nom,
packaging,emballage,kokom (e-/bi-),e-/bi-,ko-kom,ko,-kom,ø,cl7/cl8,Gender-4,nom,
sheath,gaine,kob (e-/bi-),e-/bi-,kob,,kob,ø,cl7/cl8,Gender-4,nom,
zouave,zouave,lɔ́bí (e-/bi-),e-/bi-,lòb-i,,lòb-,i,cl7/cl8,Gender-4,nom,
zoology,zoologie,tsíd (ø-/ø-),ø-/ø-,tsid,,tsid,ø,cl9/cl10,Gender-5,nom,
zoo,zoo,bəmbá (a-/mə-),a-/më-,bëm-ba,,bëm-,ba,cl5/cl6,Gender-3,nom,
against,contre bàs,kiá (ǹ-/mi-),n-/mi-,kia,,kia,ø,cl3/cl4,Gender-2,nom,
marsh,marais,ngas (e-/bi-),e-/bi-,ngas,,ngas,ø,cl7/cl8,Gender-4,nom,
zone,zone,ngab (ø-/ø-),ø-/ø-,ngab,,ngab,ø,cl9/cl10,Gender-5,nom,
zombi,zombie,kón (ø-/ø-),ø-/ø-,kon,,kon,ø,cl9/cl10,Gender-5,nom,
zodiac,zodiaque,ngám (ø-/ø-),ø-/ø-,ngam,,ngam,ø,cl9/cl10,Gender-5,nom,
zob,zob,sɔ́d (ǹ-/mi-),n-/mi-,sòd,,sòd,ø,cl3/cl4,Gender-2,nom,
phalus,phalus,sɔsɔli (e-/bi-),e-/bi-,so-soli,so,-soli,ø,cl7/cl8,Gender-4,nom,
conflict,zizanie,ladán (a-/mə-),a-/më-,lad-an,,lad-,an,cl5/cl6,Gender-3,nom,
crazy,cinglé,fufúlán (m̀-/mi-),m-/mi-,fu-ful-an,fu,-fulu-,an,cl3/cl4,Gender-2,nom,
zigzag,zigzag,kibilaí (bə-/bə-),bë-/bë-,kibilai,,kibilai,ø,cl2/cl2,Gender-1b,nom,
zest,zeste,álag (my-/my-),my-/my-,alag,,alag,ø,cl3/cl3,Gender-2b,nom,
zero,zéro,zəzə (ø-/ø-),ø-/ø-,zëzë,,zëzë,ø,cl9/cl10,Gender-5,nom,
Zenith,Zénith,zɔndɔm (o-/a-),o-/a-,zondom,,zondom,ø,cl11/cl5,Gender-8,nom,
stripe,rayure,téndé (ǹ-/mi-),n-/mi-,tend-e,,tend-,e,cl3/cl4,Gender-2,nom,
vulva,vulve,mvěl (ø-/ø-),ø-/ø-,mvel,,mvel,ø,cl9/cl10,Gender-5,nom,
vulgar,vulgarité,mgbəg (mə-/mə-),më-/më-,mgbëg,,mgbëg,ø,cl6/cl6,Gender-5,nom,
nutty,zinzin,fufúlán (m̀-/mi-),m-/mi-,fu-ful-an,fu,-fulu-,an,cl3/cl4,Gender-2,nom,
xylophone,xylophone,ndzáŋ (mə-/mə-),më-/më-,ndzaṅ,,ndzaṅ,ø,cl6/cl6,Gender-5,nom,
traditional whisky,whisky traditionnel,mgbalam (a-/mə-),a-/më-,mgba-lam,,mgbal-,lam,cl5/cl6,Gender-3,nom,
alcoholic beverage,boisson alcoolisée,lám (bi-/bi-),bi-/bi-,lam,,lam,ø,cl8/cl8,Gender-4b,nom,
wagon,wagon,kág (e-/bi-),e-/bi-,kag,,kag,ø,cl7/cl8,Gender-4,nom,
trumpet,trompette,tɔǹ (ø-/mə-),ø-/më-,ton,,ton,ø,cl9/cl6,Gender-7,nom,
microphone,microphone,kpágada (m̀-/mi-),m-/mi-,kpag-ad-a,,kpag-,ad-a,cl3/cl4,Gender-2,nom,
awareness campaign,campagne de sensibilisation,bəgəle (o-/a-),o-/a-,bëg-ël-e,,bëg-,ël-e,cl11/cl5,Gender-8,nom,
outreach,vulgarisation,lugusu (o-/a-),o-/a-,lug-us-u,,lug-,us-u,cl11/cl5,Gender-8,nom,
populariser,vulgarisateur,wúmulu (ǹ-/bə-),n-/bë-,wum-ul-u,,wum-,ul-u,cl1/cl2,Gender-1,nom,
vulgar,vulgaire,dzədzab (o-/a-),o-/a-,dzë-dzab,dzë,-zab,-dz-,cl11/cl5,Gender-8,nom,
idiot,idiot,bús (e-/bi-),e-/bi-,bus,,bus,ø,cl7/cl8,Gender-4,nom,
whimsical,caprices,mgbəg (mə-/mə-),më-/më-,mgbëg,,mgbëg,ø,cl6/cl6,Gender-5,nom,
crude,grossier,byag (o-/a-),o-/a-,byag,,byag,ø,cl11/cl5,Gender-8,nom,
view,vue,yen (mə-/mə-),më-/më-,yen,,yen,ø,cl6/cl6,Gender-5,nom,
noise,bruit,duǹ (e-/bi-),e-/bi-,dun,,dun,ø,cl7/cl8,Gender-4,nom,
whirring,vrombissement,sog (a-/mə-),a-/më-,sog,,sog,ø,cl5/cl6,Gender-3,nom,
tendril,vrille,túbuga (e-/bi-),e-/bi-,tub-ug-a,,tub-,ug-a,cl7/cl8,Gender-4,nom,
plausibility,vraisemblance,kámbā (a-/mə-),a-/më-,kamb-a,,kamb-,a,cl5/cl6,Gender-3,nom,
likely,vraisemblable,kámbā (ø-/ø-),ø-/ø-,kamb-a,,kamb-,a,cl9/cl10,Gender-5,nom,
truth,vérité,bə́bə́lá (ø-/ø-),ø-/ø-,bë-bël-a,bë,-bëlë-,a,cl9/cl10,Gender-5,nom,
TRUE,véritable,faǹ (m̀-/min-),m-/min-,fan,,fan,ø,cl3/cl4,Gender-2,nom,
right,justesse,sosoo (ø-/ø-),ø-/ø-,sosoo,,sosoo,ø,cl9/cl10,Gender-5,nom,
clairvoyant,voyant,bwee ngam (m̀-/bə-),m-/bë-,bwee ngam,,bwee ngam,ø,cl1/cl2,Gender-1,nom,
magician,mage,bobód (m̀-/bə-),m-/bë-,bo-bod,bo,-bod,ø,cl1/cl2,Gender-1,nom,
clairvoyance,voyance,mvigí (ø-/ø-),ø-/ø-,mvig-i,,mvig-,i,cl9/cl10,Gender-5,nom,
marabout,marabout,gəngám (ǹ-/min-),n-/min-,gë-ngam,gë,-ngam,ø,cl3/cl4,Gender-2,nom,
traveller,voyageur,dzɔm (ǹ-/bə-),n-/bë-,dzom,,dzom,ø,cl1/cl2,Gender-1,nom,
traveller,voyageur,wulu (ǹ-/bə-),n-/bë-,wul-u,,wul-,u,cl1/cl2,Gender-1,nom,
passer-by,passant,lod (ǹ-/bə-),n-/bë-,lod,,lod,ø,cl1/cl2,Gender-1,nom,
guest,invité,nəǹ (ǹ-/bə-),n-/bë-,nën,,nën,ø,cl1/cl2,Gender-1,nom,
business trip,voyage d'affaires,yəǹ (mə-/mə-),më-/më-,yën,,yën,ø,cl6/cl6,Gender-5,nom,
holiday,villégiature,ndángá (e-/bi-),e-/bi-,ndang-a,,ndang-,a,cl7/cl8,Gender-4,nom,
palatal vault,voûte palatale,ndab anyu (ø-/ø-),ø-/ø-,ndab anyu,,ndab anyu,ø,cl9/cl10,Gender-5,nom,
celestial vault,voûte céleste,ba(s) yób (e-/bi-),e-/bi-,ba(s) yob,,ba(s) yob,ø,cl7/cl8,Gender-4,nom,
arched (a being),vouté (un être),ngɔngɔǹ (o-/a-),o-/a-,ngo-ngon,ngo,-ngon,ø,cl11/cl5,Gender-8,nom,
arched (a being),vouté (un être),vudán (m̀-/min-),m-/min-,vud-an,,vud-,an,cl3/cl4,Gender-2,nom,
will,volonté,yián (ǹ-/min-),n-/min-,yi-an,,yi-,an,cl3/cl4,Gender-2,nom,
request,reclamation,yanda (ǹ-/min-),n-/min-,yand-a,,yand-,a,cl3/cl4,Gender-2,nom,
ardour,ardeur,vaǹ (o-/o-),o-/o-,van,,van,ø,cl11/cl11,Gender-8b,nom,
want,vouloir,yi (o-/o-),o-/o-,yi,,yi,ø,cl11/cl11,Gender-8b,nom,
your sister (same gender),votre sœur (même sexe),nyɔǹ (mɔ̄-/bɔ̄-bə́-),mò-/bò-bë-,nyon,,nyon,ø,non trouvé,non trouvé,nom,
your brother (same gender),votre frère (même sexe),nyɔǹ (mɔ̄-/bɔ̄-bə́-),mò-/bò-bë-,nyon,,nyon,ø,non trouvé,non trouvé,nom,
choice,choix,tɔbán (ǹ-/min-),n-/min-,tob-an,,tob-,an,cl3/cl4,Gender-2,nom,
vote,vote,ben bənə (ó-/a-),o-/a-,ben bën-ë,,ben bën-,ë,cl11/cl5,Gender-8,nom,
vortex,vortex,kiǹ (a-/mə-),a-/më-,kin,,kin,ø,cl5/cl6,Gender-3,nom,
voracity,voracité,səgəbə (a-/mə-),a-/më-,sëg-ëb-ë,,sëg-,ëb-ë,cl5/cl6,Gender-3,nom,
greed,avidité,kpaa (ø-/ø-),ø-/ø-,kpa-a,,kpa-,a,cl9/cl10,Gender-5,nom,
bulimia,boulimie,ndɔg (ø-/ø-),ø-/ø-,ndog,,ndog,ø,cl9/cl10,Gender-5,nom,
flavour,saveur,zám (ø-/ø-),ø-/ø-,zam,,zam,ø,cl9/cl10,Gender-5,nom,
voracious,vorace,kpəkpaa (ø-/ø-),ø-/ø-,kpë-kpaa,kpë,-kpaa,ø,cl9/cl10,Gender-5,nom,
glutton,glouton,dondɔg (ǹ-/min-),n-/min-,do-ndog,do,-ndog,ø,cl3/cl4,Gender-2,nom,
disgusting,répugt,nyugudu (e-/bi-),e-/bi-,nyug-ud-u,,nyug-,ud-u,cl7/cl8,Gender-4,nom,
vomit,vomissures,ndolo (ø-/bə-),ø-/bë-,ndol-o,,ndol-,o,cl9/cl2,Gender-6,nom,
vomiting,vomissement,yoo (a-/mə-),a-/më-,yoo,,yoo,ø,cl5/cl6,Gender-3,nom,
defecation,défecation,kúmundu (e-/bi-),e-/bi-,kumu-nd-u,,kumu-,nd-u,cl7/cl8,Gender-4,nom,
twisted,tordu,kɔd (ǹ-/min-),n-/min-,kod,,kod,ø,cl3/cl4,Gender-2,nom,
voluptuous,voluptueux,vag (a-/mə-),a-/më-,vag,,vag,ø,cl5/cl6,Gender-3,nom,
voluptuousness,volupté,mvɔm (ø-/ø-),ø-/ø-,mvom,,mvom,ø,cl9/cl10,Gender-5,nom,
enjoyment,jouissance,nyənga (e-/bi-),e-/bi-,nyën-ga,,nyën-,ga,cl7/cl8,Gender-4,nom,
joy,joie,tag (miǹ-/min-),min-/min-,tag,,tag,ø,cl4/cl4,Gender-2c,nom,
voluminous and badly made,volumineux et mal fait,tub (e-/bi-),e-/bi-,tub,,tub,ø,cl7/cl8,Gender-4,nom,
belly,ventre,bum (a-/mə-),a-/më-,bum,,bum,ø,cl5/cl6,Gender-3,nom,
voluminous,volumineux,totos (e-/bi-),e-/bi-,totos,,totos,ø,cl7/cl8,Gender-4,nom,
Thick,Épais,fǐb (a-/mə-),a-/më-,fib,,fib,ø,cl5/cl6,Gender-3,nom,
Bulky,Encombrant,tumudu (e-/bi-),e-/bi-,tum-ud-u,,tum-,ud-u,cl7/cl8,Gender-4,nom,
Abundant,Abondant,fob (e-/bi-),e-/bi-,fob,,fob,ø,cl7/cl8,Gender-4,nom,
Thick,Épais,dzob (e-/bi-),e-/bi-,dzob,,dzob,ø,cl7/cl8,Gender-4,nom,
thing,chose,óm (dz-/by-),dz-/by-,om,,om,ø,cl5a/cl8a,Gender-4a,nom,
measure,mesure,bóm (a-/mə-),a-/më-,bom,,bom,ø,cl5/cl6,Gender-3,nom,
volubility,volubité,vól (a-/a-),a-/a-,vol,,vol,ø,cl5/cl5,Gender-3f,nom,
capacity,capacité,bím (a-/mə-),a-/më-,bim,,bim,ø,cl5/cl6,Gender-3,nom,
drum,tambour,ngóm (ø-/mə-),ø-/më-,ngom,,ngom,ø,cl9/cl6,Gender-7,nom,
empty,viduité,yəb (a-/mə-),a-/më-,yëb,,yëb,ø,cl5/cl6,Gender-3,nom,
volige,volige,bám (a-/mə-),a-/më-,bam,,bam,ø,cl5/cl6,Gender-3,nom,
highwayman,bandit de grand chemin,zəmə kədə (ø-/ø-),ø-/ø-,zëmë këdë,,zëmë këdë,ø,cl9/cl10,Gender-5,nom,
petty,mesquin,mvol (ø-/ø-),ø-/ø-,mvol,,mvol,ø,cl9/cl10,Gender-5,nom,
meanness,mesquinerie,mvol (ø-/ø-),ø-/ø-,mvol,,mvol,ø,cl9/cl10,Gender-5,nom,
stealing,volant,zitía (ø-/ø-),ø-/ø-,zitia,,zitia,ø,cl9/cl10,Gender-5,nom,
neck,cou,kíǹ (ǹ-/min-),n-/min-,kin,,kin,ø,cl3/cl4,Gender-2,nom,
mouth,bouche,nyu (a-/mə-),a-/më-,nyu,,nyu,ø,cl5/cl6,Gender-3,nom,
tongue,langue,kɔbɔ (ǹ-/min-),n-/min-,kob-o,,kob-,o,cl3/cl4,Gender-2,nom,
car,voiture,vulud (e-/bi-),e-/bi-,vul-ud,,vul-,ud,cl7/cl8,Gender-4,nom,
machine,engin,mətúa (ø-/bə-),ø-/bë-,mëtua,,mëtua,ø,cl9/cl2,Gender-6,nom,
cart,charette,ngunubu (ø-/ø-),ø-/ø-,ngun-ub-u,,ngun-,ub-u,cl9/cl10,Gender-5,nom,
trolley,chariot,bígidi (e-/bi-),e-/bi-,bigid-i,,bigid-,i,cl7/cl8,Gender-4,nom,
hitch,attelage,kálíd (e-/bi-),e-/bi-,kalid,,kalid,ø,cl7/cl8,Gender-4,nom,
neighbour,voisin,tsaba (ǹ-/min-),n-/min-,tsab-a,,tsab-,a,cl3/cl4,Gender-2,nom,
neighbourhood,voisinage,tsaba (e-/bi-),e-/bi-,tsab-a,,tsab-,a,cl7/cl8,Gender-4,nom,
closer,rapprochement,ladan (a-/mə-),a-/më-,lad-an,,lad-,an,cl5/cl6,Gender-3,nom,
common ownership,mitoyenneté,ngɔdɔ (ø-/ø-),ø-/ø-,ngod-o,,ngod-,o,cl9/cl10,Gender-5,nom,
end,extrémité,kúg (a-/mə-),a-/më-,kug,,kug,ø,cl5/cl6,Gender-3,nom,
proximity,proximité,lad (a-/mə-),a-/më-,lad,,lad,ø,cl5/cl6,Gender-3,nom,
grove,bosquet,kaǹ (o-/a-),o-/a-,kan,,kan,ø,cl11/cl5,Gender-8,nom,
creation,création,komo (a-/mə-),a-/më-,kom-o,,kom-,o,cl5/cl6,Gender-3,nom,
creator,créateur,komo (ǹ-/min-),n-/min-,kom-o,,kom-,o,cl3/cl4,Gender-2,nom,
helpfulness,serviabilité,komodo (a-/a-),a-/a-,kom-od-o,,kom-,od-o,cl5/cl5,Gender-3f,nom,
foundation,fondation,komodo (ǹ-/min-),n-/min-,kom-od-o,,kom-,od-o,cl3/cl4,Gender-2,nom,
superhuman,surhumain,komódán (ǹ-/bə-),n-/bë-,kom-od-an,,kom-,od-an,cl1/cl2,Gender-1,nom,
bottle,bouteille,lɔmbi (ǹ-/min-),n-/min-,lòmb-i,,lòmb-,i,cl3/cl4,Gender-2,nom,
dame-jeanne,dame-jeanne,ngámbá (a-/mə-),a-/më-,ngamb-a,,ngamb-,a,cl5/cl6,Gender-3,nom,
white bridal veil,voile blanc de mariée,suláya (ø-/ø-),ø-/ø-,sulay-a,,sulay-,a,cl9/cl10,Gender-5,nom,
vow,vœu,ngagá (ø-/ø-),ø-/ø-,ngag-a,,ngag-,a,cl9/cl10,Gender-5,nom,
law,loi,tiǹ (a-/mə-),a-/më-,tin,,tin,ø,cl5/cl6,Gender-3,nom,
knot,noeud,tiǹ (a-/mə-),a-/më-,tin,,tin,ø,cl5/cl6,Gender-3,nom,
ambition,ambition,tám (ǹ-/min-),n-/min-,tam,,tam,ø,cl3/cl4,Gender-2,nom,
aim,visée,tám (o-/a-),o-/a-,tam,,tam,ø,cl11/cl5,Gender-8,nom,
aspiration,aspiration,vaǹ (o-/a-),o-/a-,van,,van,ø,cl11/cl5,Gender-8,nom,
nursery,pépinière,ngádan (ø-/mə-),ø-/më-,ngad-an,,ngad-,an,cl9/cl6,Gender-7,nom,
albino,albinos,naǹ (ǹ-/min-),n-/min-,nan,,nan,ø,cl3/cl4,Gender-2,nom,
vitiligo,vitiligo,ɔngɔ (miǹ-/min-),min-/min-,ong-o,,ong-,o,cl4/cl4,Gender-2c,nom,
glass,vitre,yed (e-/bi-),e-/bi-,yed,,yed,ø,cl7/cl8,Gender-4,nom,
glasses,lunettes,yed (bi-/bi-),bi-/bi-,yed,,yed,ø,cl8/cl8,Gender-4b,nom,
speed,vitesse,vól (a-/a-),a-/a-,vol,,vol,ø,cl5/cl5,Gender-3f,nom,
quickly,rapidité,vyám (mə-/mə-),më-/më-,vyam,,vyam,ø,cl6/cl6,Gender-5,nom,
race,course,bíl (m̀-/min-),m-/min-,bil,,bil,ø,cl3/cl4,Gender-2,nom,
rate,Célérité,fím (m̀-/min-),m-/min-,fim,,fim,ø,cl3/cl4,Gender-2,nom,
swiftness,promptitude,fóbolo (m̀-/min-),m-/min-,fob-ol-o,,fob,ol-o,cl3/cl4,Gender-2,nom,
diligence,diligence,dídīga (o-/a-),o-/a-,di-dig-a,di,-dig-,a,cl11/cl5,Gender-8,nom,
vitality,vitalité,tómóndán (a-/mə-),a-/më-,tom-ond-an,,tom-,ond-an,cl5/cl6,Gender-3,nom,
fluid,fluide,kɔn (ǹ-/min-),n-/min-,kon,,kon,ø,cl3/cl4,Gender-2,nom,
viscous,visqueux,kokɔn (ǹ-/min-),n-/min-,ko-kòn,ko,-kòn,ø,cl3/cl4,Gender-2,nom,
sticky,gluant,nden (a-/mə-),a-/më-,nden,,nden,ø,cl5/cl6,Gender-3,nom,
oil,huile,bɔn (m̀-/min-),m-/min-,bon,,bon,ø,cl3/cl4,Gender-2,nom,
sticky,collant,yáb (a-/a-),a-/a-,yab,,yab,ø,cl5/cl5,Gender-3f,nom,
visitor,visiteur,dzɔm (ǹ-/bə-),n-/bë-,dzom,,dzom,ø,cl1/cl2,Gender-1,nom,
explorer,explorateur,bəbə (m̀-/bə-),m-/bë-,bë-bë,bë,-bë,ø,cl1/cl2,Gender-1,nom,
pilgrim,pèlerin,fəb (m̀-/bə-),m-/bë-,fëb,,fëb,ø,cl1/cl2,Gender-1,nom,
foreigner,étranger,nəǹ (ǹ-/bə-),n-/bë-,nën,,nën,ø,cl1/cl2,Gender-1,nom,
evening visit,visite vespérale,mɔ (e-/bi-),e-/bi-,mo,,mo,ø,cl7/cl8,Gender-4,nom,
medical visit,visite médicale,fɔmbɔ (m̀-/min-),m-/min-,fomb-o,,fomb-,o,cl3/cl4,Gender-2,nom,
visit in the rain,visite par temps de pluie,lɔmbi (e-/bi-),e-/bi-,lomb-i,,lomb,i,cl7/cl8,Gender-4,nom,
visit of interest,visite d'intérêt,yəǹ (mə-/mə-),më-/më-,yën,,yën,ø,cl6/cl6,Gender-5,nom,
surveillance visit,visite de surveillance,fəb (e-/bi-),e-/bi-,fëb,,fëb,ø,cl7/cl8,Gender-4,nom,
condolence visit,visite de condoléances,dzian (e-/bi-),e-/bi-,dzi-an,,dzi-,an,cl7/cl8,Gender-4,nom,
pleasure visits,visite d'agrément,mɔ (e-/bi-),e-/bi-,mo,,mo,ø,cl7/cl8,Gender-4,nom,
visiting neighbours,visite chez les voisins,mɔ (e-/bi-),e-/bi-,mo,,mo,ø,cl7/cl8,Gender-4,nom,
promise,promesse,ngánga (ø-/mə-),ø-/më-,ngang-a,,ngang-,a,cl9/cl6,Gender-7,nom,
Launching ceremony,cérémonie de lancement,kúli (e-/bi-),e-/bi-,kul-i,,kul-,i,cl7/cl8,Gender-4,nom,
visionary,visionnaire,bobód (m̀-/bə-),m-/bë-,bo-bod,bo,-bod,ø,cl1/cl2,Gender-1,nom,
seer,voyant,gəngám (ǹ-/bə-),n-/bë-,gë-ngam,gë,-ngam,ø,cl1/cl2,Gender-1,nom,
opinion,opinion,yen (a-/mə-),a-/më-,yen,,yen,ø,cl5/cl6,Gender-3,nom,
esplanade,esplanade,yéné (a-/mə-),a-/më-,yen-e,,yen-,e,cl5/cl6,Gender-3,nom,
dream,rêve,yə́yə̄m (e-/bi-),e-/bi-,yë-yëm,yë,-yëm,ø,cl7/cl8,Gender-4,nom,
Hallusination,hallusination,simba (e-/bi-),e-/bi-,simb-a,,simb-,a,cl7/cl8,Gender-4,nom,
vision,vision,léndán (ǹ-/min-),n-/min-,lend-an,,lend-,an,cl3/cl4,Gender-2,nom,
expert,expert,kǎ (ø-/ø-),ø-/ø-,ka,,ka,ø,cl9/cl10,Gender-5,nom,
viscera,viscère,súngá (ǹ-/min-),n-/min-,sung-a,,sung-,a,cl3/cl4,Gender-2,nom,
intestine,intestin,ya (ǹ-/min-),n-/min-,ya,,ya,ø,cl3/cl4,Gender-2,nom,
alchemy,alchimie,vú (e-/bi-),e-/bi-,vu,,vu,ø,cl7/cl8,Gender-4,nom,
sorcerer,mage,vúvú (ǹ-/min-),n-/min-,vu-vu,,-vu-,vu,cl3/cl4,Gender-2,nom,
virus,virus,kəm (ǹ-/min-),n-/min-,këm,,këm,ø,cl3/cl4,Gender-2,nom,
poison,poison,sul (ǹ-/min-),n-/min-,sul,,sul,ø,cl3/cl4,Gender-2,nom,
microbe,microbe,ngə́ngə́mə (o-/a-),o-/a-,ngë-ngëm-ë,ngë,-ngëm-,ë,cl11/cl5,Gender-8,nom,
virility,virilité,fám (a-/a-),a-/a-,fam,,fam,ø,cl5/cl5,Gender-3f,nom,
virginity,virginité,ndún (e-/bi-),e-/bi-,ndun,,ndun,ø,cl7/cl8,Gender-4,nom,
